SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Sydney - Eastern Suburbs,51,118,16.26229967,1,2.600970595,2,1686,850,0,0,105100,3,-5.039787798,1,-2.234636872,-2.773497689,20.64329027,2,1,2,2.096379441,3,28405,29014,2.143988734,2,63.0952381,3
Sydney - Inner South West,51,119,16.26229967,1,-3.242600782,1,895,500,0,0,68100,2,-12.27272727,0,-25.67567568,2.479338843,24.36281859,1,2,3,2.471884783,3,44393,45723,2.995967833,3,63.0952381,3
Sydney - Inner West,51,120,16.26229967,1,0,0,1927.5,630,0,0,96800,3,-8.550185874,0,-26.97368421,9.041394336,27.65425931,1,3,3,2.447919737,3,28126,29191,3.786532034,3,63.0952381,3
Sydney - North Sydney and Hornsby,51,121,16.26229967,1,0,0,1000,600,0,0,122900,3,-14.76510067,0,-17.99065421,-4.304347826,16.6443178,1,1,1,2.886875352,2,51206,51785,1.130726868,1,63.0952381,3
Sydney - Northern Beaches,51,122,16.26229967,1,3.114840537,2,1250,795,0,0,105500,3,-12.81337047,0,-9.756097561,0.305810398,17.57129715,2,2,2,1.50671873,3,28471,29001,1.861543325,2,63.0952381,3
Sydney - Outer South West,51,123,16.26229967,1,58.97483654,3,551,440,1,1,80900,2,-7.627118644,1,4.081632653,10.35502959,14.92159838,3,3,1,3.095160428,2,14167,14354,1.319968942,1,63.0952381,3
Sydney - Outer West and Blue Mountains,51,124,16.26229967,1,0,0,575,375,1,2,78400,2,-5.8,1,-17.1875,2.258064516,15.63330381,1,2,1,0.78235059,3,18791,18813,0.117077324,0,63.0952381,2
Sydney - Parramatta,51,125,16.26229967,1,9.474618461,2,831,490,0,0,72000,2,-4.6875,2,-27.94117647,-1.401869159,28.08712454,1,2,3,2.76576068,2,34027,35617,4.672759867,3,63.0952381,3
Sydney - Ryde,51,126,16.26229967,1,0,0,1318,650,0,0,93300,3,-9.090909091,0,-20.24793388,-10.59602649,27.96398199,1,1,3,3.587496936,1,15601,16073,3.025447087,3,63.0952381,3
Sydney - South West,51,127,16.26229967,1,0,0,739,450,0,0,68200,2,-3.044871795,2,-36.55913978,-18.51851852,22.12315408,0,0,3,3.767266337,1,25039,25479,1.757258676,2,63.0952381,3
